"","Assay Target","Target UniProt","Bioinfomatic annotated gene","Ensembl gene ID"
"332","CPM","P14384","MTARC1","ENSG00000186205"
"333","CPPED1","Q9BRF8","CPPED1","ENSG00000103381"
"334","CPVL","Q9H3G5","KNG1","ENSG00000113889"
"335","CPXM1","Q96SM3","LINC01221","ENSG00000235492"
"336","CR2","P20023","CLCA2","ENSG00000137975"
"337","CRACR2A","Q9BSW2","ARHGEF3","ENSG00000163947"
"338","CRADD","P78560","ARHGEF3","ENSG00000163947"
"339","CREG1","O75629","CREG1","ENSG00000143162"
"340","CRELD2","Q6UXH1","PSEN2","ENSG00000143801"
"341","CRH","P06850","CELSR2","ENSG00000143126"
"342","CRHBP","P24387","ADGRL4","ENSG00000162618"
"343","CRIM1","Q9NZV1","CRIM1","ENSG00000150938"
"344","CRIP2","P52943","PON1","ENSG00000005421"
"345","CRISP2","P16562","NEB","ENSG00000183091"
"346","CRKL","P46109","ZFPM2","ENSG00000169946"
"347","CRLF1","O75462","COLEC11","ENSG00000118004"
"348","CRNN","Q9UBG3","FLG-AS1","ENSG00000237975"
"349","CRTAC1","Q9NQ79","HRG","ENSG00000113905"
"350","CRTAM","O95727","ACOXL","ENSG00000153093"
"351","CSF1","P09603",NA,NA
"352","CSF2RA","P15509","DLG4","ENSG00000132535"
"353","CSF3","P09919","CSF3R","ENSG00000119535"
"354","CST3","P01034","SHROOM3","ENSG00000138771"
"355","CST5","P28325",NA,NA
"356","CST6","Q15828",NA,NA
"357","CST7","O76096","MEF2C","ENSG00000081189"
"358","CSTB","P04080","CSTB","ENSG00000160213"
"359","CTF1","Q16619","AC004917.1","ENSG00000243797"
"360","CTRB1","P17538","NOTCH2","ENSG00000134250"
"361","CTRC","Q99895","CTRC","ENSG00000162438"
"362","CTSB","P07858","HLA-DQB1-AS1","ENSG00000223534"
"363","CTSC","P53634","ADH4","ENSG00000198099"
"364","CTSD","P07339","TCEA3","ENSG00000204219"
"365","CTSF","Q9UBX1","VPS25P1","ENSG00000226755"
