"","exposure","id","outcome","nsnp","b","se","pval","what"
"190","CAD","ebi-a-GCST003116","CPM",42,-0.0374858643158273,0.0212638136260259,0.07791825133094,"All"
"191","CAD","ebi-a-GCST003116","CPM",40,-0.0350406275400793,0.0176597648074285,0.0472327774156168,"Outliers removed"
"192","CAD","ebi-a-GCST003116","CPPED1",42,0.0196957702229972,0.015847355662209,0.213925805878292,"All"
"193","CAD","ebi-a-GCST003116","CPPED1",41,0.0112279328807149,0.0130630702816143,0.390055264752738,"Outliers removed"
"194","CAD","ebi-a-GCST003116","CR2",2,0.00108872148047372,0.122750259852054,0.992923333341728,"All"
"195","CAD","ebi-a-GCST003116","CR2",2,0.00108872148047372,0.122750259852054,0.992923333341728,"Outliers removed"
"196","CAD","ebi-a-GCST003116","CRHBP",42,-0.00584816759663691,0.0210230310189071,0.780874886889417,"All"
"197","CAD","ebi-a-GCST003116","CRHBP",37,-0.0232015580471889,0.014882414602218,0.11899838907577,"Outliers removed"
"198","CAD","ebi-a-GCST003116","CRIP2",42,0.0136646976488839,0.022496124356037,0.543569216860275,"All"
"199","CAD","ebi-a-GCST003116","CRIP2",40,-0.00927264108509318,0.019071807879827,0.626828044259151,"Outliers removed"
"200","CAD","ebi-a-GCST003116","CRLF1",42,0.0195120249612181,0.0271252985644707,0.471937980335964,"All"
"201","CAD","ebi-a-GCST003116","CRLF1",41,0.00286059594682862,0.0203542693087126,0.888233081352969,"Outliers removed"
"202","CAD","ebi-a-GCST003116","CSF3",42,0.00679018409581341,0.0205661706914291,0.741276968400193,"All"
"203","CAD","ebi-a-GCST003116","CSF3",42,0.00679018409581341,0.0205661706914291,0.741276968400193,"Outliers removed"
"204","CAD","ebi-a-GCST003116","CST3",42,0.0324920611680182,0.025691376767748,0.205976419779702,"All"
"205","CAD","ebi-a-GCST003116","CST3",41,0.0197536289798936,0.0219649173364456,0.368478854962765,"Outliers removed"
"206","CAD","ebi-a-GCST003116","CTRB1",42,0.0259878979626457,0.0198901849488184,0.191359149424956,"All"
"207","CAD","ebi-a-GCST003116","CTRB1",42,0.0259878979626457,0.0198901849488184,0.191359149424956,"Outliers removed"
"208","CAD","ebi-a-GCST003116","CTSB",42,-0.0510257283911444,0.0252558654960334,0.0433469294964985,"All"
"209","CAD","ebi-a-GCST003116","CTSB",36,-0.0507574307883017,0.0201436739104028,0.0117431446602618,"Outliers removed"
"210","CAD","ebi-a-GCST003116","CTSD",42,0.0150157915057575,0.02344557748491,0.5218781060434,"All"
"211","CAD","ebi-a-GCST003116","CTSD",39,0.0055186030406722,0.0180745301856016,0.760118758872721,"Outliers removed"
"212","CAD","ebi-a-GCST003116","CTSH",42,0.0262440758204214,0.0912924457978411,0.773750486783756,"All"
"213","CAD","ebi-a-GCST003116","CTSH",40,-0.0125325286804686,0.0101555103021731,0.21717982679852,"Outliers removed"
"214","CAD","ebi-a-GCST003116","CTSL",42,0.0103633374465416,0.018981871457136,0.585093617702962,"All"
"215","CAD","ebi-a-GCST003116","CTSL",41,0.00515312076790572,0.0175102844715677,0.768535477695496,"Outliers removed"
"216","CAD","ebi-a-GCST003116","CTSO",42,-0.00866853419845176,0.0310184473968237,0.779888889935642,"All"
"217","CAD","ebi-a-GCST003116","CTSO",37,-0.0230404867828011,0.0161613774503285,0.153969055993625,"Outliers removed"
"218","CAD","ebi-a-GCST003116","CTSS",42,0.0505936012524123,0.0250721478647395,0.0435995412611923,"All"
"219","CAD","ebi-a-GCST003116","CTSS",40,0.0263089831620961,0.0164327950496635,0.109375863962283,"Outliers removed"
"220","CAD","ebi-a-GCST003116","CX3CL1",42,-0.0444645128975534,0.0224541536018581,0.0476770685269426,"All"
"221","CAD","ebi-a-GCST003116","CX3CL1",40,-0.0217312694191343,0.0174748545914804,0.213656504077327,"Outliers removed"
"222","CAD","ebi-a-GCST003116","CXCL10",42,0.0564332041101719,0.0340048983387305,0.0970027935208301,"All"
"223","CAD","ebi-a-GCST003116","CXCL10",41,0.0301867511125401,0.0180610980459955,0.0946489054971542,"Outliers removed"
"224","CAD","ebi-a-GCST003116","CXCL11",42,0.0442987544302906,0.0373137724874957,0.235150392407105,"All"
"225","CAD","ebi-a-GCST003116","CXCL11",41,0.0129992144549163,0.015159929340657,0.391184100161507,"Outliers removed"
"226","CAD","ebi-a-GCST003116","CXCL13",42,0.111262252415505,0.0326445948916376,0.000653713356073676,"All"
"227","CAD","ebi-a-GCST003116","CXCL13",37,0.045773649218236,0.0181604862275505,0.011718560382889,"Outliers removed"
"228","CAD","ebi-a-GCST003116","CXCL17",42,-0.00115451279539097,0.0191365683838878,0.951892658052517,"All"
"229","CAD","ebi-a-GCST003116","CXCL17",42,-0.00115451279539097,0.0191365683838878,0.951892658052517,"Outliers removed"
"230","CAD","ebi-a-GCST003116","CXCL6",42,0.0494022860223809,0.0230139829175868,0.0318235116933681,"All"
"231","CAD","ebi-a-GCST003116","CXCL6",41,0.0349475165262081,0.016952089023244,0.0392509504098264,"Outliers removed"
"232","CAD","ebi-a-GCST003116","CXCL8",168,-0.00538702592961284,0.00858900600460864,0.530528039182407,"All"
"233","CAD","ebi-a-GCST003116","CXCL8",168,-0.00538702592961284,0.00858900600460864,0.530528039182407,"Outliers removed"
